City,Car Name,Price,Mileage,Fuel Type,Transmission,Car URL,Year
New Delhi,Tata Safari Accomplished Plus Dark,2199000.0,8800.0,Diesel,Manual,https://www.cardekho.com/used-car-details/used-Tata-safari-accomplished-plus-dark-cars-New-Delhi_702dd9ee-379d-4855-9d6e-b7b6d4f1ef8c.htm,2023
New Delhi,Renault KWID RXT,265000.0,39000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Renault-kwid-rxt-cars-New-Delhi_91053e62-1487-4985-b3eb-caa21da21ea0.htm?adId=4127&adType=41,2017
New Delhi,Jeep Compass 1.4 Longitude Option BSIV,1150000.0,65000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-longitude-option-bsiv-cars-New-Delhi_2834c7a4-0950-4919-b37a-9a4cc6b1bc6c.htm,2019
New Delhi,Maruti Ertiga ZXI,750000.0,62000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Maruti-ertiga-zxi-cars-New-Delhi_9ce1aa34-3605-45cd-b3f6-141b2bffcc43.htm,2019
New Delhi,Mercedes-Benz CLA 200 CDI Sport,1850000.0,45000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-cla-200-cdi-sport-cars-New-Delhi_e59884d7-6cf2-44fb-ad80-b33bb845341a.htm,2017
New Delhi,BMW X7 xDrive 40i M Sport,7875000.0,62132.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-x7-xdrive-40i-m-sport-cars-New-Delhi_92efef74-fc2a-4eab-b519-af297ff4cac9.htm?adId=4010&adType=41,2020
New Delhi,Audi A6 35 TDI Technology,1475000.0,51100.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Audi-a6-35-tdi-technology-cars-New-Delhi_f5bd2d5a-e371-4396-8e4d-648faa581b8a.htm,2015
New Delhi,Mercedes-Benz S-Class S 350 d,4290000.0,55000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-s-class-s-350-d-cars-New-Delhi_049502e1-df07-4219-a098-31c5b0041500.htm,2017
New Delhi,Hyundai Creta 1.6 VTVT E Plus,715000.0,26000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-e-plus-cars-New-Delhi_a88d7239-a785-42e8-8d11-f22ad051ff27.htm,2017
New Delhi,Toyota Innova Crysta 2.4 ZX 7 STR AT,2225000.0,42000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-zx-7-str-at-cars-New-Delhi_2976b16b-491d-4a10-aa55-48bfc35e5823.htm?adId=3036&adType=41,2021
New Delhi,MG Astor Savvy CVT Red BSVI,1275000.0,31052.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Mg-astor-savvy-cvt-red-bsvi-cars-New-Delhi_659274fc-d6fc-4237-8e93-33c05c573852.htm,2021
New Delhi,Hyundai Creta E BSVI,1135000.0,15000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Hyundai-creta-e-bsvi-cars-New-Delhi_f9239e17-c16f-4e41-ac31-438d1076138a.htm,2021
New Delhi,Kia Seltos HTX G,1275000.0,5800.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-g-cars-New-Delhi_5361bb8a-d160-41c8-8d8a-82df96a6292e.htm,2021
