City,Car Name,Price,Year,Mileage,Fuel Type,Transmission,Car URL
Bangalore,2013 Audi A6 2.0 TDI Premium Plus,"₹17 Lakh
Compare","55,250 kms",Diesel,Automatic,N/A,https://www.cardekho.com/buy-used-car-details/used-Audi-a6-20-tdi-premium-plus-cars-Bangalore_3f01006c-f1f0-4bb7-81e0-f936ebef4873.htm?adId=3353&adType=41
Bangalore,2021 Maruti S-Presso VXi Plus,"₹4.63 Lakh
Compare","17,175 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-s-presso-vxi-plus-cars-Bangalore_184e2db7-ee15-4b1f-8786-630f9e88a33f.htm
Bangalore,2019 Maruti Vitara Brezza ZDi Plus Dual Tone,"₹9.78 Lakh
Compare","42,541 kms",Diesel,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-vitara-brezza-zdi-plus-dual-tone-cars-Bangalore_9cba866e-4aa1-4c26-835b-5b1ecc8ddf6a.htm
Bangalore,2017 Renault KWID 1.0 RXT Opt,"₹3.69 Lakh
Compare","38,079 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Renault-kwid-10-rxt-opt-cars-Bangalore_6bf2bb42-5fe0-4f84-a5e5-1f6e36901cb9.htm
Bangalore,2022 Hyundai Creta SX Diesel BSVI,"₹15.99 Lakh
Compare","40,500 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-diesel-bsvi-cars-Bangalore_808bd10c-17e5-406d-aed6-687ebd6f1110.htm?adId=2888&adType=41
Bangalore,2021 Kia Sonet HTX Turbo iMT,"₹8.78 Lakh
Compare","72,105 kms",Petrol,Automatic,N/A,https://www.cardekho.com/buy-used-car-details/used-Kia-sonet-htx-turbo-imt-cars-Bangalore_53f8a858-a25b-4a7b-b413-cae4a14b1f60.htm
Bangalore,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,"₹6.46 Lakh
Compare","15,967 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-bsiv-cars-Bangalore_2aa29721-dcbf-434a-a378-0e0025f65b45.htm
Bangalore,2016 Volkswagen Ameo Cup Edition Comfortline,"₹4.60 Lakh
Compare","74,857 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Volkswagen-ameo-cup-edition-comfortline-cars-Bangalore_113cf725-e83c-43f7-af66-2374e32f72fb.htm
Bangalore,2017 BMW X5 xDrive 30d Expedition,"₹41.50 Lakh
Compare","56,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Bmw-x5-xdrive-30d-expedition-cars-Bangalore_41f369b9-3cab-4021-bf6a-757406b7d62d.htm?adId=3433&adType=41
Bangalore,2015 Hyundai i20 Sportz 1.2,"₹5.47 Lakh
Compare","59,253 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-sportz-12-cars-Bangalore_78346209-ec03-4ed0-bda2-553afda58804.htm
Bangalore,2022 MG Hector Hybrid Sharp Dualtone,"₹15.54 Lakh
Compare","30,493 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Mg-hector-hybrid-sharp-dualtone-cars-Bangalore_fb0a5f4b-21cf-430c-b77c-3b0325c4c376.htm
Bangalore,2021 MG Hector 2.0 Sharp Pro Diesel BSVI,"₹16.65 Lakh
Compare","21,830 kms",Diesel,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Mg-hector-20-sharp-pro-diesel-bsvi-cars-Bangalore_3893c267-ae28-4521-8668-ff08e4fcb895.htm
Bangalore,2014 Mercedes-Benz B Class B180 CDI,"₹10.75 Lakh
Compare","52,531 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-b-class-b180-cdi-cars-Bangalore_277e1d81-f11a-490f-b592-f25f3a0eb737.htm?adId=1474&adType=41
Bangalore,2020 Kia Seltos HTX G,"₹10.81 Lakh
Compare","31,852 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Kia-seltos-htx-g-cars-Bangalore_3f63e2df-b78d-46d7-81e5-7bfd90967331.htm
Bangalore,2019 Ford Ecosport 1.5 Ti VCT AT Titanium,"₹9.32 Lakh
Compare","35,655 kms",Petrol,Automatic,N/A,https://www.cardekho.com/buy-used-car-details/used-Ford-ecosport-15-ti-vct-at-titanium-cars-Bangalore_442a3d87-2dd7-4ed6-b9bc-c69a9e9721c8.htm
Bangalore,2017 Honda City VX MT,"₹7.23 Lakh
Compare","55,610 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Honda-city-vx-mt-cars-Bangalore_2a01010b-39c5-498e-b5da-f6c41817d111.htm
Bangalore,2016 Mahindra XUV500 W8 2WD,"₹9.25 Lakh
Compare","89,586 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-xuv500-w8-2wd-cars-Bangalore_7838e522-2347-40cb-9413-89b2e20aab1a.htm?adId=1451&adType=41
Bangalore,2016 Ford Ecosport 1.0 Ecoboost Trend Plus BSIV,"₹5.81 Lakh
Compare","49,910 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Ford-ecosport-10-ecoboost-trend-plus-bsiv-cars-Bangalore_9dea2b51-6924-4b3b-b09f-89f2f541f7ba.htm
Bangalore,2021 Hyundai Grand i10 Nios AMT Asta,"₹6.74 Lakh
Compare","55,642 kms",Petrol,Automatic,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-nios-amt-asta-cars-Bangalore_e6e99ebf-2da9-48f7-9d4f-54bc6194f9b1.htm
Bangalore,2015 Hyundai i20 Asta 1.4 CRDi,"₹5.36 Lakh
Compare","1,11,641 kms",Diesel,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-asta-14-crdi-cars-Bangalore_650f9b8a-449a-4f22-9810-ce70b9ed0eb1.htm
Bangalore,2017 Hyundai Creta 1.6 E Plus,"₹9.25 Lakh
Compare","68,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-e-plus-cars-Bangalore_13bda334-aa14-4e74-bace-c27e42cf6682.htm?adId=3921&adType=41
Bangalore,2014 Hyundai Verna 1.6 VTVT SX,"₹5.19 Lakh
Compare","77,285 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-verna-16-vtvt-sx-cars-Bangalore_a19199b7-090c-4085-94d2-116d6934c4d0.htm
Bangalore,2011 Maruti Swift VXI,"₹3.80 Lakh
Compare","41,553 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-vxi-cars-Bangalore_26f50b13-1b75-4828-b99c-75a3b67ed688.htm
Bangalore,2022 Renault Kiger RXZ Turbo CVT,"₹8.84 Lakh
Compare","33,329 kms",Petrol,Automatic,N/A,https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxz-turbo-cvt-cars-Bangalore_2d6b01fe-8ed4-4970-8062-0e0fe3064cd5.htm
Bangalore,2018 Audi Q3 30 TFSI Premium FWD,"₹24.99 Lakh
Compare","50,143 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Audi-q3-30-tfsi-premium-fwd-cars-Bangalore_a9c4a0cc-aba4-4d8b-8192-a9fb9b1c6c2a.htm?adId=1482&adType=41
Bangalore,2014 Hyundai i20 Sportz Petrol,"₹3.15 Lakh
Compare","46,625 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-sportz-petrol-cars-Bangalore_8144e4b5-6483-40bb-8136-cb731ec0bc1e.htm
Bangalore,2013 Nissan Micra Active XV Petrol,"₹3.05 Lakh
Compare","71,849 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Nissan-micra-active-xv-petrol-cars-Bangalore_0c8131f1-939e-4a4a-bb43-156553ee0b4b.htm
Bangalore,2016 Renault KWID RXT,"₹3.30 Lakh
Compare","19,010 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Renault-kwid-rxt-cars-Bangalore_873952f6-b8ed-4016-8cbf-0d10d3a7b86f.htm
Bangalore,2016 Audi A6 35 TDI,"₹24.95 Lakh
Compare","34,548 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Audi-a6-35-tdi-cars-Bangalore_fb4bd740-cd06-4f5e-a82f-b4866931fa84.htm?adId=1481&adType=41
Bangalore,2019 Maruti Swift AMT ZXI,"₹5.90 Lakh
Compare","1,03,987 kms",Petrol,Automatic,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-amt-zxi-cars-Bangalore_1274b5ac-ff04-4a22-99f8-d70d12d16c6f.htm
Bangalore,2013 Mahindra Ssangyong Rexton RX7,"₹7.99 Lakh
Compare","65,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-ssangyong-rexton-rx7-cars-Bangalore_226b52f6-b6d7-4118-ab8b-8359c5f0e4fe.htm
